username, created_at, lng, lat, text
snaket0ngue, Sat Jan 30 01:56:31 +0000 2021, -73.433618, 45.510936, I will have it all 
larepousse, Sat Jan 30 01:56:31 +0000 2021, -71.341059, 46.855857, @EricBourdeau2 Bon bon! Moi Jsuis une plotte voilée ☝️ Na na! 
gsudarlin, Sat Jan 30 01:56:31 +0000 2021, -81.800579, 32.440511, @GSEagleMan One of the other games is currently delayed 2 hours because of clock issues!! But I know what you mean.… https://t.co/Meo6ivkq3U 
ItsJustJordan_1, Sat Jan 30 01:56:31 +0000 2021, -105.068348, 39.899287, @DarkSkin_Thing Yea I said fuck it after that lol 
robbiefaulkSDN, Sat Jan 30 01:56:31 +0000 2021, -88.821688, 33.456504, Starkville boys taking on Germantown as the Jackets look to finish out the district slate undefeated. 16-11 SHS after one quarter. 
veronikastealz, Sat Jan 30 01:56:31 +0000 2021, -73.968542, 40.780709, “The thing I love about outdoor dining is that your glass of water is getting colder by the second. Isn’t that cool?” 
Luckywen007, Sat Jan 30 01:56:31 +0000 2021, -79.645081, 43.418190, @GAzUluPO7bwZL4B 感觉她的文笔了得呢。 
ArmaniLee35, Sat Jan 30 01:56:31 +0000 2021, -83.026989, 42.492846, I been sleeping so much 
AlexisHex, Sat Jan 30 01:56:32 +0000 2021, -87.732013, 41.833585, @ritzybitz Primarina is amazing I loved Sun and Moon 
ogsharkdad, Sat Jan 30 01:56:32 +0000 2021, -79.861034, 35.170499, my parents were married for like 30 seconds but Wii is forever 
mhouckOU, Sat Jan 30 01:56:32 +0000 2021, -97.445173, 35.222301, Congrats, @mmadlock! What a fantastic (and deserved) honor! So happy for you and your team. 
kamidramagirl, Sat Jan 30 01:56:32 +0000 2021, -97.406098, 31.110477, Nail 🔨 You hit the nail on the head! 
hdjr2, Sat Jan 30 01:56:32 +0000 2021, -122.780831, 47.051444, @sjruuuj That’s not what Genesis 3 states, or John 10:10. 👀 
AkilahC_, Sat Jan 30 01:56:32 +0000 2021, -78.976213, 33.766137, “when you gonna pop out a kid?” man pls, don’t ask me stupid questions 
YoungSweetJMZ, Sat Jan 30 01:56:32 +0000 2021, -118.346153, 33.953633, @JR_Surg https://t.co/uOb5G2LHRU 
tuerespicante, Sat Jan 30 01:56:32 +0000 2021, -111.547029, 39.499762, @aprlledrools I MISSED IT 
NoahCampaign, Sat Jan 30 01:56:33 +0000 2021, -82.096405, 39.320384, @Colebehr_report Used my $10 in profits from doge to double down 😎 
Joshchong12, Sat Jan 30 01:56:33 +0000 2021, -117.968540, 33.769045, @hunterheaux https://t.co/SoddEja2cV 
Dmerida_10, Sat Jan 30 01:56:33 +0000 2021, -93.361321, 46.441861, If Beal ain’t he ain’t 
CHiCAGOsREALiST, Sat Jan 30 01:56:33 +0000 2021, -97.285913, 32.779967, I’d drag my nuts through 2 miles of broken glass just to hear her fart through a walkie-talkie 💨 #beatboxchallenge 
derekroy100, Sat Jan 30 01:56:33 +0000 2021, -111.963278, 40.559481, Fabulous and babied 2014 #Honda #Accord #white #tan leather and sunroof. 61,800 miles. 304321 https://t.co/tG1EwbDDuy 
ClerSunSports, Sat Jan 30 01:56:33 +0000 2021, -82.669467, 40.365160, CNE timeout. Williamsburg ran the lead up to nine with back-to-back baskets, CNE steal and layup cut it to seven. R… https://t.co/OKORyYHuqo 
DarrylJay2, Sat Jan 30 01:56:33 +0000 2021, -119.306608, 37.269176, @sarahkustok knows her basketball 
careyj2, Sat Jan 30 01:56:33 +0000 2021, -122.330602, 47.614817, @phonybarroni @polarskateco https://t.co/lNGImLITBT 
BlindDadLife, Sat Jan 30 01:56:33 +0000 2021, -120.995000, 37.661500, Just posted a photo @ Modesto, California https://t.co/ShiorUrp2V 
RealFbgCash, Sat Jan 30 01:56:33 +0000 2021, -87.732013, 41.833585, Tooka name so strong... 
Mr_shawtyme32, Sat Jan 30 01:56:33 +0000 2021, -74.153947, 40.572376, Stay humble ❤️ 
Persianviolett, Sat Jan 30 01:56:33 +0000 2021, -98.716992, 35.309047, Glen died for the second time and I’m so sad /: #twd 
GhumannSonu, Sat Jan 30 01:56:33 +0000 2021, -79.759591, 43.724971, @cvoule @hrw @un @amnesty again we Walk together,stay together,fight together and win together. Waheguru Ji Fateh b… https://t.co/fA7M8xP31B 
diannefarlinger, Sat Jan 30 01:56:33 +0000 2021, -123.123581, 49.257639, @JeffreyLuscombe @TurnItUp79 Kris Kristofersen 
korupteddonkey, Sat Jan 30 01:56:33 +0000 2021, -96.053431, 41.275721, @MaddoxBurton1 @CoachTuioti92 @coachwilhite Love this!#GBR🔴⚪🌽 
FernieGonzalez, Sat Jan 30 01:56:33 +0000 2021, -106.417430, 31.793368, What a game 32/30 1:20 left in 3rd qtr Canutillo leads Hanks in girls bball!! 🏀🏀 
camacho105, Sat Jan 30 01:56:34 +0000 2021, -73.831187, 40.670879, @_Natafen Y Palavecino sé va 
ridethewind703, Sat Jan 30 01:56:34 +0000 2021, -77.450244, 38.770885, 😑 is that a pupusa emoji lol 
RoseWigged, Sat Jan 30 01:56:34 +0000 2021, -72.757385, 41.500753, These two idiots are a real danger to our country and democracy 
RonDirtyDog, Sat Jan 30 01:56:34 +0000 2021, -80.132962, 25.816966, Come to terms with being the ugliest person in Miami 
luxuryjeff, Sat Jan 30 01:56:34 +0000 2021, -85.698188, 38.335135, All true. My 15 year old has made some nice friends thru Criminal Minds tiktok. https://t.co/gYAOmaTu9A 
DaveBenforado, Sat Jan 30 01:56:34 +0000 2021, -89.569491, 44.900818, @mellconklin @GovEvers Here’s a link to the current list of 53 organizations who have weighed in on the GOP proposa… https://t.co/k0Gw1hLeun 
LowellYoda, Sat Jan 30 01:56:34 +0000 2021, -117.789005, 33.890425, Zac Effrontery telling Vanessa Hudgens that Coachella is cancelled. 
tsunamininjaa, Sat Jan 30 01:56:34 +0000 2021, -116.989920, 33.729378, Applied for a manager position and got it lol the past really does have your back 
BunieGOTCHAAA, Sat Jan 30 01:56:34 +0000 2021, -71.515665, 41.828673, I’m actually tired of people trying to police the feelings and reactions of Nigerian people when it comes to this v… https://t.co/94olfGM0ro 
NomadsDonSkyxx, Sat Jan 30 01:56:34 +0000 2021, -80.260290, 25.904155, PSA https://t.co/UxfdU2We18 
gabbyfoti, Sat Jan 30 01:56:35 +0000 2021, -92.012413, 30.088726, What tf is this? 
Pmasur, Sat Jan 30 01:56:35 +0000 2021, -74.220951, 40.409714, I genuinely miss Jon Stewart. 
bobdylandude, Sat Jan 30 01:56:35 +0000 2021, -71.421832, 41.817084, @RealTimBlack Mr black you are provecting. People don't just say things because they think they will sound popular… https://t.co/z5o4VyCxHp 
caropaquin80, Sat Jan 30 01:56:35 +0000 2021, -73.723025, 45.557830, @LapinRoyal @Sarah_Mojarad @Mahek_3012 @ClareParry_ @OpenAcademics @Charlottereulet @jonathanstea @kari_jerge… https://t.co/81wXVMbqrH 
fireinspections, Sat Jan 30 01:56:35 +0000 2021, -80.141800, 26.135800, Just posted a photo @ Fort Lauderdale, Florida https://t.co/kPdlyqqD2a 
havefaith1992, Sat Jan 30 01:56:35 +0000 2021, -97.754724, 30.323346, Driving through liberal Austin, Texas right now... 
FnsNava, Sat Jan 30 01:56:35 +0000 2021, -101.166961, 25.032632, https://t.co/gXeHWYbxgs 
Brown_Farms, Sat Jan 30 01:56:36 +0000 2021, -82.669467, 40.365160, @ScottDimmich That’s right I get it wrong too 
t_able25, Sat Jan 30 01:56:36 +0000 2021, -82.286058, 38.405848, @CaseyKVideo https://t.co/MvHt2mhh6o 
KingInATL, Sat Jan 30 01:56:36 +0000 2021, -84.433106, 33.767195, Wassup for Tonite ATL ... Where the freaks at 😈😈👀 
David__Guajardo, Sat Jan 30 01:56:36 +0000 2021, -84.539813, 39.137038, @LexilynElliott https://t.co/75J4TR2MSM 
cardinals150, Sat Jan 30 01:56:36 +0000 2021, -94.544949, 37.164146, @AnonVAPerson @stevesingiser You are really off the deep end lol. The people who invaded the Capitol should be in jail. 
ChaseDanielsXXX, Sat Jan 30 01:56:36 +0000 2021, -82.324702, 28.224502, @Keith14943120 @funsizeboys Thank you mr ❤️😘❤️ 
hskyfn, Sat Jan 30 01:56:36 +0000 2021, -120.882482, 47.273022, Exactly, the flag I fly is the #StarsAndStripes 
savannah_koplon, Sat Jan 30 01:56:36 +0000 2021, -86.739750, 33.481181, I just fully baked a pizza to the cardboard backing, is it February yet 
Matthew53399107, Sat Jan 30 01:56:36 +0000 2021, -68.984705, 45.188407, Dum-deeDumDum.... 
ImSoWoody, Sat Jan 30 01:56:36 +0000 2021, -88.110264, 41.568604, Rule number1, bet not say shit to police 
stephen_a, Sat Jan 30 01:56:36 +0000 2021, -80.149173, 26.150368, Not shocked 
Thebelew, Sat Jan 30 01:56:36 +0000 2021, -86.680738, 32.576227, @LadyDemosthenes @jenniferlee_75 I'm over here wondering how her gorgeous momma has a 23 year! #GoodGenetics 
RogerGuess, Sat Jan 30 01:56:36 +0000 2021, -100.076888, 31.168893, @dmasten Biden administration is squeezing SpaceX. Surprise! 
MailmanJack65, Sat Jan 30 01:56:37 +0000 2021, -87.732013, 41.833585, I think @JamesFox917 would make a great villain in a Taken movie. 
ColoradoCatie, Sat Jan 30 01:56:37 +0000 2021, -104.922093, 39.713563, @trudytalk It went really well! Thank you for asking! 😃 
lizkmiller, Sat Jan 30 01:56:37 +0000 2021, -121.873730, 37.331159, Hahahahaha!!!! Poor Ribeye. 🐄#flashbackfriday @lnfrance That time I pet a ribeye before eating a ribeye showed up o… https://t.co/QARM5289cm 
BamFr_, Sat Jan 30 01:56:37 +0000 2021, -80.132962, 25.816966, Ocean drive females falling in love with my accent 
Key23Official, Sat Jan 30 01:56:37 +0000 2021, -83.173867, 32.678207, What weak ass niggas is that 
beachywoman51, Sat Jan 30 01:56:37 +0000 2021, -117.706310, 33.529449, @ScotNational Hell yes!!! 
RossiSongo, Sat Jan 30 01:56:37 +0000 2021, -73.968542, 40.780709, But then you’d have to live in Houston 😟 
itskaryssamarie, Sat Jan 30 01:56:37 +0000 2021, -96.690937, 32.964484, whatever https://t.co/1hAaiVb6C8 
Callmecait_, Sat Jan 30 01:56:37 +0000 2021, -121.436217, 37.723350, Also s/o to @rickeyb11six for putting me on https://t.co/5pkIZ6AxbD 
westcoasthky, Sat Jan 30 01:56:38 +0000 2021, -118.411907, 34.020789, No issue. Not a malicious play but one that can’t happen 
traveler291, Sat Jan 30 01:56:38 +0000 2021, -77.803392, 42.794194, @TheTorontoSun They’re also opening new ones. 
armstrongbcoach, Sat Jan 30 01:56:38 +0000 2021, -93.385564, 45.036527, @jrborman13 ? not ! 
violarenaebates, Sat Jan 30 01:56:38 +0000 2021, -118.384000, 34.084700, Just posted a photo @ West Hollywood, California https://t.co/qpfq5KEaZq 
Jordan_Elise, Sat Jan 30 01:56:38 +0000 2021, -121.873730, 37.331159, @MikewitthenikeS Definitely. I like that and @NeoCurlyProduct stuff a lot 
highstakesbitch, Sat Jan 30 01:56:38 +0000 2021, -88.130387, 41.915290, DENALIIII THAT NAIL 
PCPPConserv, Sat Jan 30 01:56:38 +0000 2021, -117.287924, 33.121484, @sandyleevincent @GOP @mtgreenee @RepMattGaetz @Jim_Jordan @SenTedCruz That’s because I think it’s rude not to wear… https://t.co/7gwSustZCw 
andrewmccalip, Sat Jan 30 01:56:39 +0000 2021, -118.351218, 33.833714, @elonmusk   Would you consider adding the green light ding feature as a $250 upgrade? I'm sure all the non-FSD crowd would love it. 
ozaalcerit, Sat Jan 30 01:56:39 +0000 2021, -81.248786, 42.948841, @den1zs hangi cocuk 🤨 
Zombie001Hunter, Sat Jan 30 01:56:39 +0000 2021, -79.420865, 38.003376, About to go live! I’ll race you guys there! 
MitchellCohen7, Sat Jan 30 01:56:39 +0000 2021, -74.539446, 40.270419, @CO0483T Killer O! 
djs412, Sat Jan 30 01:56:39 +0000 2021, -73.679959, 41.413470, #cadillactrivia Wilt Chamberlain 
brchapman65, Sat Jan 30 01:56:39 +0000 2021, -79.420865, 38.003376, @sweetonmeee Wondering why? 
kbhumes, Sat Jan 30 01:56:39 +0000 2021, -122.149768, 47.597856, @SusanChappelle1 @funder @Hillaryfantasy #ExepelHerNow 
Billy_PDX, Sat Jan 30 01:56:39 +0000 2021, -122.630908, 45.536402, I love the new director of the show! 
TroyRyanXXX, Sat Jan 30 01:56:39 +0000 2021, -83.963842, 35.982470, Some of the best album art to this day is from bands I used to listen to in middle school https://t.co/w97KKqOmgG 
CoalterInsuresU, Sat Jan 30 01:56:40 +0000 2021, -89.580759, 36.876421, @sikestonball Way to go! 
ECochnar, Sat Jan 30 01:56:40 +0000 2021, -106.632718, 35.117002, Favorite George Michael album? #GeorgeMichael 
spicycor3, Sat Jan 30 01:56:40 +0000 2021, -97.754724, 30.323346, I wanna look like an alien but i have an internship 😐 
Nicol09041064, Sat Jan 30 01:56:40 +0000 2021, -100.293591, 25.641718, https://t.co/PaZAnMNNjf 
webcentrick, Sat Jan 30 01:56:40 +0000 2021, -91.585191, 41.698276, @HawkeyeReport @DavidEickholt I feel like they were trying to say something. 
SinCityDaniel, Sat Jan 30 01:56:40 +0000 2021, -115.223125, 36.232915, Well well..Maybe they will piss off Elon and he will start a new public platform!! 
